gsis_id,season,source,pass_yards,pass_tds,interceptions,rush_yards,rush_tds,receptions,rec_yards,rec_tds,points
00-0023459,2026,espn,3772.282852,20.18926362,11.11930345,99.73045638,0.890494388,0.0,0.0,0.0,224.72577362599998
00-0025565,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0026158,2026,espn,164.8331785,1.317193925,0.688697415,1.172322829,0.017373466,0.0,0.0,0.0,10.7061810889
00-0026190,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0026300,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0026498,2026,espn,4281.608063,34.92611058,9.69449278,39.41661123,0.587122538,0.0,0.0,0.0,299.044175631
00-0026858,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027940,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027962,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027969,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028118,2026,espn,135.9092633,0.851790479,0.515750047,12.35614111,0.070343861,0.0,0.0,0.0,9.469709630999999
00-0028872,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2026,espn,832.3889651,4.101762909,2.682510863,10.96681758,0.255175397,0.0,0.0,0.0,46.965322654
00-0029607,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029692,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029822,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029892,2026,espn,0.0,0.0,0.0,18.59247679,0.150979786,20.42068487,161.5030114,0.942765679,44.99270647899999
00-0030070,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030092,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030140,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030279,2026,espn,0.0,0.0,0.0,0.0,0.0,55.09480582,539.4685816,2.680758251,125.12621348600001
00-0030294,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
